2018-11-06 16:52:28.71| on thread[140447603222272 c0s3]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Statement insert into amit values (1,1);
2018-11-06 16:52:28.118| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5)| sqream|  Connection id - 0 - Executing - insert into amit values (1,1);
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Connection id - 0
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  End Time - 2018-11-06 16:52:28
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  SQL - insert into amit values (1,1);
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  ResultSet Num Of Rows - 4
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Processed Num Of Rows - 11
2018-11-06 16:52:28.159| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 5) | sqream|  Success
2018-11-06 16:52:30.407| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  Connection id - 0
2018-11-06 16:52:30.407| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  Start Time - 2018-11-06 16:52:30
2018-11-06 16:52:30.407| on thread[140447603222272 c0s5]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  Statement insert into amit values (1,111111);
2018-11-06 16:52:30.452| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7)| sqream|  Connection id - 0 - Executing - insert into amit values (1,111111);
2018-11-06 16:52:30.484| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  Connection id - 0
2018-11-06 16:52:30.485| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  End Time - 2018-11-06 16:52:30
2018-11-06 16:52:30.485| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  SQL - insert into amit values (1,111111);
2018-11-06 16:52:30.485| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  ResultSet Num Of Rows - 4
2018-11-06 16:52:30.485| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  Processed Num Of Rows - 11
2018-11-06 16:52:30.485| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 7) | sqream|  Success
2018-11-06 16:52:33.239| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  Connection id - 0
2018-11-06 16:52:33.239| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  Start Time - 2018-11-06 16:52:33
2018-11-06 16:52:33.239| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  Statement insert into amit values (1,1111111111111111111111111111);
2018-11-06 16:52:33.282| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  Connection id - 0
2018-11-06 16:52:33.282| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  End Time - 2018-11-06 16:52:33
2018-11-06 16:52:33.282| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  SQL - '1111111111111111049520087040' is not a valid literal of type Int Integer '497554162897125376' is out of bounds for type Int
2018-11-06 16:52:33.282| on thread[140447603222272 c0s7]| IP[192.168.0.244:5002]| master| 192.168.0.244| sqream| (stmt : 9) | sqream|  Failed
2018-11-06 16:52:38.711| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  Connection id - 0
2018-11-06 16:52:38.711| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  Start Time - 2018-11-06 16:52:38
2018-11-06 16:52:38.711| on thread[140447603222272 c0s7]| IP[192.168.0.244:5000]| master| 192.168.0.244| sqream| (stmt : 10) | sqream|  Statement insert into amit values (1,'fff');
